University,Private,Apps,Accept,Enroll,Top10perc,Top25perc,F.Undergrad,P.Undergrad,Outstate,Room.Board,Books,Personal,PhD,Terminal,S.F.Ratio,perc.alumni,Expend,Grad.Rate,Apps_transformed,Accept_transformed,Enroll_transformed,Top10perc_transformed,F.Undergrad_transformed,P.Undergrad_transformed,Outstate_transformed,Books_transformed,Personal_transformed,PhD_transformed,Terminal_transformed,S.F.Ratio_transformed,perc.alumni_transformed,Expend_transformed,Accept_Rate,Outstate_Tier,Outstate_Tier_Encoded,Private_Encoded,Apps_transformed_scaled,Accept_transformed_scaled,Enroll_transformed_scaled,Top10perc_transformed_scaled,F.Undergrad_transformed_scaled,P.Undergrad_transformed_scaled,Outstate_transformed_scaled,Books_transformed_scaled,Personal_transformed_scaled,PhD_transformed_scaled,Terminal_transformed_scaled,S.F.Ratio_transformed_scaled,perc.alumni_transformed_scaled,Expend_transformed_scaled,Accept_Rate_scaled,Outstate_Tier_Encoded_scaled,Private_Encoded_scaled
Abilene Christian University,Yes,1660,1232,721,23,52,2885,537,7440,3300,450,2200,70.0,78,18.1,12,7041,60,5.712145845268364,5.60138391141987,4.140800558787514,4.818997178837589,3.7793224449099174,8.713823289558528,59.28601536151998,9.270525807002555,10.37136003078452,2436.7893025328367,34618.54631426671,7.958870720536977,4.953303378471571,1.831301764113729,0.7421686746987952,Low,0,1,0.029312272275010876,0.04288239431274337,0.49336561124255446,-0.055200718403029835,0.43216965815596997,0.29827525513441944,-0.6932389470072864,-0.6133100630418952,1.2708345600115423,-0.29347540133892097,-0.28553671812966114,1.0174287020688955,-0.8342724276648658,-0.49129705864050627,-0.031096899061405527,-1.0977194109733543,0.6130958528832952
Adelphi University,Yes,2186,1924,512,16,29,2683,1227,12280,6450,750,1500,29.0,30,12.2,16,10527,56,5.86990002120935,5.867695650668914,4.012906675204298,4.043409132038042,3.7664414683973004,10.31616502414638,70.96603541179472,10.425882498985677,9.703857838201385,418.32997716220666,2831.0418238990724,5.904911098320331,5.900304933741678,1.8342822362322242,0.8801463860933212,Medium,1,1,0.28434669507156074,0.48759673934664766,0.14244007812373818,-0.5871679226871698,0.36395770875153927,0.8671677596340062,0.5556885167378008,1.3022200552656582,0.45491530270202957,-2.1903483440074316,-2.252377593209516,-0.4346095870330258,-0.4321419230686565,0.5515921981628045,0.9074561211357447,0.3584006965742063,0.6130958528832952
Adrian College,Yes,1428,1097,336,22,50,1036,99,11250,3750,400,1165,53.0,66,12.9,30,8735,54,5.62450342068577,5.530669104537276,3.8460195507069965,4.72006404693986,3.577305065125934,5.815891280490231,68.77646840509966,9.014694833976261,9.273611547555127,1397.2527513082268,22346.50996978621,6.166254230007078,8.505142557374741,1.832979823178354,0.7682072829131653,Medium,1,1,-0.1123754835804902,-0.07520436038935675,-0.3154782483361486,-0.12305785184375591,-0.6376249552526602,-0.7306012715900319,0.32156131861648807,-1.0374664620381557,-0.07099493073970593,-1.27039315843607,-1.0448647336429244,-0.24985413726745317,0.673964674278998,0.09586822967712032,0.1460231164420328,0.3584006965742063,0.6130958528832952
Agnes Scott College,Yes,417,349,137,60,89,510,63,12960,5450,450,875,92.0,97,7.7,37,19016,59,4.8701900010031,4.801085118572678,3.452449203759191,7.2527986409147225,3.4086271807865107,5.11982162968427,72.34620391901926,9.270525807002555,8.795945969733173,4207.948159114593,61289.05591242347,4.0573219946362835,9.567248268196495,1.8376384148601677,0.8369304556354916,Medium,1,1,-1.331841697067143,-1.293537676751549,-1.3953882483523,1.614116601411784,-1.5308683596589256,-0.9777325784800756,0.7032679169314024,-0.6133100630418952,-0.654867984385544,1.37099376580703,1.3646918631281069,-1.7407550886575778,1.1249724926404445,1.7259439437387076,0.6134923958218088,0.3584006965742063,0.6130958528832952
Alaska Pacific University,Yes,193,146,55,16,44,249,869,7560,4120,800,1500,76.0,72,11.9,2,10922,15,4.362064838213612,4.2052709915517985,2.9923472083582627,4.043409132038042,3.2092912862271707,9.631261026407856,59.62873261684401,10.577309512175834,9.703857838201385,2872.1891570226703,28068.836197330573,5.791125549906482,1.435570769429468,1.8345241384664746,0.7564766839378239,Low,0,1,-2.153305894939775,-2.2884885189757864,-2.6578531411322968,-0.5871679226871698,-2.5864630143693197,0.6240006859663723,-0.6565926920667006,1.5532793225065122,0.45491530270202957,0.11569717540939685,-0.6907977722592065,-0.5150498114932618,-2.328026668337858,0.6362355805755846,0.0662291483746286,-1.0977194109733543,0.6130958528832952
Albertson College,Yes,587,479,158,38,62,678,41,13500,3335,500,675,75.0,73,9.4,11,9727,55,5.086638092124851,5.008692512033041,3.518695890502607,6.018587232987885,3.4795426837702896,4.486482023874574,73.40871283345535,9.502670860800531,8.371563707208031,2797.1408339686877,29101.843668955273,4.794954971684336,4.6929731524538,1.8337466143551389,0.8160136286201022,Medium,1,1,-0.9819193342809999,-0.9468538006773457,-1.21361525646671,0.7675847409999096,-1.1553312490383814,-1.2025923239204166,0.8168804413963757,-0.22842386689854197,-1.1736103410433745,0.04516955486019143,-0.6268807912936191,-1.2192884958420362,-0.9448178904126144,0.3641741385021251,0.471211798688974,0.3584006965742063,0.6130958528832952
Albertus Magnus College,Yes,353,340,103,17,45,416,230,13290,5720,500,1500,90.0,93,11.5,26,8861,63,4.762726931643527,4.783747634543557,3.3155094793550686,4.167994170464725,3.3551173311172127,7.200125826038053,72.99889021389272,9.502670860800531,9.703857838201385,4027.0838434683237,54886.120254639376,5.637657762251316,7.8398782563579585,1.8330845106913258,0.9631728045325779,Medium,1,1,-1.505572640812917,-1.3224895655277928,-1.7711344876976116,-0.5017164322200872,-1.8142328355358628,-0.2391451480720982,0.7730587079890185,-0.22842386689854197,0.45491530270202957,1.2010242141140972,0.9685124280279964,-0.6235432314264993,0.3914698171492021,0.13249916540110146,1.4722190454859183,0.3584006965742063,0.6130958528832952
Albion College,Yes,1899,1720,489,37,68,1594,32,13868,4826,450,850,89.0,100,13.7,37,11487,73,5.789635826463403,5.801517400083841,3.9952166693171267,5.950905246358549,3.6678204044253406,4.133121168004016,74.11689862840286,9.270525807002555,8.74813681377624,3938.140272384894,66380.98635477376,6.458258782327776,9.567248268196495,1.8348476293299478,0.9057398630858347,Medium,1,1,0.1545870075313709,0.3770855863369489,0.093900815940873,0.7211624200833137,-0.15829578804485464,-1.3280489215668767,0.892605712837437,-0.6133100630418952,-0.7133073594983343,1.1174383566772665,1.6797533027611797,-0.04342272256216631,1.1249724926404445,0.7494274283022593,1.0815482617133334,0.3584006965742063,0.6130958528832952
Albright College,Yes,1038,839,227,30,63,973,306,15595,4400,300,500,79.0,84,11.3,23,11644,80,5.435556518760654,5.365082447796826,3.680629920666159,5.434512156192033,3.563401962354302,7.6957126061998125,77.2851223643358,8.405836708794975,7.890855810096345,3103.2898290035896,42037.76711508565,5.560145089438339,7.305625713076967,1.8349331981899324,0.8082851637764933,High,2,1,-0.41783785111676847,-0.3517177495712697,-0.7692876289594262,0.3669741501362814,-0.7112496328455621,-0.06319291611227368,1.2313792438813873,-2.046926211268621,-1.7612021643396472,0.33287698488245776,0.17352500962299197,-0.678340495986942,0.16460720682316513,0.779368605822774,0.41864117733900724,1.8145208041217669,0.6130958528832952
Alderson-Broaddus College,Yes,582,498,172,21,44,799,78,10468,3380,660,1800,40.0,41,11.5,15,8991,52,5.081289418596912,5.033881369715475,3.5574494258172917,4.61773086410158,3.5184836514404063,5.44485925764363,67.0244891916229,10.129619880423451,10.019259575285039,795.9675972970406,6418.606091926495,5.637657762251316,5.675799188389897,1.833190143327847,0.8556701030927835,Medium,1,1,-0.990566305797211,-0.9047908920801377,-1.1072801866453614,-0.1932470423613438,-0.9491171228134194,-0.862331808322911,0.13422474331924178,0.8110297824067062,0.840445648422016,-1.8354585650737079,-2.0303982916738934,-0.6235432314264993,-0.5274750385853566,0.16946080685117496,0.7409633658843612,0.3584006965742063,0.6130958528832952
Alfred University,Yes,1732,1425,472,37,75,1830,110,16548,5406,500,600,82.0,88,11.3,31,10932,73,5.7366892716807865,5.689246441330375,3.9815128430930846,5.950905246358549,3.6950716074792,5.982666302508909,78.93552617010309,9.502670860800531,8.18162464989385,3343.323684287649,47487.224979564795,5.560145089438339,8.664190735529143,1.8345300871822185,0.8227482678983834,High,2,1,0.06899057905329407,0.18960415563033936,0.05629915440159747,0.7211624200833137,-0.013985480352037364,-0.671389770125531,1.4078545093706523,-0.22842386689854197,-1.4057817650474291,0.5584518675118793,0.5107083351693819,-0.678340495986942,0.7415021812454939,0.6383170802489733,0.5170222123469872,1.8145208041217669,0.6130958528832952
Allegheny College,Yes,2652,1900,484,44,77,1707,44,17080,4440,400,600,73.0,91,9.9,41,11711,76,5.9787530140406435,5.860309977981476,3.9912438940861508,6.3990538472540806,3.681441201161774,4.588761724271104,79.82982165876625,9.014694833976261,8.18162464989385,2650.022148392148,51847.00689353883,5.001743657107565,10.12756185867775,1.834969175446058,0.7164404223227753,High,2,1,0.46032466859152044,0.47526339421852687,0.08299999545726995,1.0285425548159215,-0.08616607824190928,-1.1662791245185324,1.5034802182039588,-1.0374664620381557,-1.4057817650474291,-0.09308710977675971,0.7804683371675396,-1.0731000870048981,1.3629015494814063,0.7919573140578902,-0.2061058097604855,1.8145208041217669,0.6130958528832952
Allentown Coll. of St. Francis de Sales,Yes,1179,780,290,38,64,1130,638,9690,4785,600,1000,60.0,84,13.3,21,7940,74,5.511537706061379,5.3195092088807785,3.785092002463567,6.018587232987885,3.5962403709853796,9.037298362046258,65.19398064813774,9.911870086910547,9.01750885336023,1790.5445158830128,42037.76711508565,6.31311179805378,6.929403951155235,1.8322611777606723,0.6615776081424937,Medium,1,1,-0.29500231835796586,-0.42782056483872183,-0.4826561598195867,0.7675847409999096,-0.537351957784123,0.41312125842975483,-0.06150885839875067,0.450010288926062,-0.38404127330500104,-0.9007921972379641,0.17352500962299197,-0.14603378484101692,0.0048500806392386695,-0.1555911216452529,-0.5792940546226276,0.3584006965742063,0.6130958528832952
Alma College,Yes,1267,1080,385,44,73,1306,28,12572,4552,400,400,79.0,87,15.3,32,9305,68,5.554165000094791,5.5211089658244745,3.9011413635315217,6.3990538472540806,3.6270133819544674,3.9462911658014495,71.5646911791033,9.014694833976261,7.540282586470517,3103.2898290035896,46086.272753520185,7.023054080272134,8.820611540394847,1.8334358435964344,0.8524072612470402,Medium,1,1,-0.22608859696616584,-0.09116884936789561,-0.164230581051607,1.0285425548159215,-0.3743917144214137,-1.3943807068374012,0.6197019024942315,-1.0374664620381557,-2.1897242687337264,0.33287698488245776,0.4240248994484804,0.35585698539765914,0.8079240121706287,0.2554331495929184,0.7187688386828509,0.3584006965742063,0.6130958528832952
Alverno College,Yes,494,313,157,23,46,1317,1235,8352,3640,650,2449,36.0,69,11.1,26,8127,55,4.978133779111628,4.728629271653737,3.5157773328895465,4.818997178837589,3.6287668844534715,10.329292595590491,61.805639720315234,10.094559934711176,10.561649244502703,644.7330171299121,25106.93423290231,5.482096185079573,7.8398782563579585,1.8324399290446465,0.6336032388663968,Low,0,1,-1.1573336120660473,-1.414531796640125,-1.2216234297867012,-0.055200718403029835,-0.3651059414347578,0.8718285488000315,-0.4238191988839534,0.7529019484450437,1.5034339966218024,-1.9775831942446136,-0.8740644345850307,-0.7335168472284893,0.3914698171492021,-0.0930447242004866,-0.7695815184950914,-1.0977194109733543,0.6130958528832952
American International College,Yes,1420,1093,220,9,22,1018,287,8700,4780,450,1400,78.0,84,14.7,19,7355,69,5.621213897014765,5.528433994880008,3.666985302275609,2.9528188947255454,3.5734400748625195,7.5832212297939945,62.71933465913548,9.270525807002555,9.585611403607514,3025.263672430051,42037.76711508565,6.814084059463645,6.534472866673584,1.8316573586842353,0.7697183098591549,Low,0,1,-0.11769351567508371,-0.07893677312532452,-0.8067268312789887,-1.3351916215524642,-0.6580922327170985,-0.10313165045134533,-0.3261191352140588,-0.6133100630418952,0.31037713613816026,0.2595509072328201,0.17352500962299197,0.2081264905007414,-0.16285168859179217,-0.36687188617963684,0.15630143523297682,-1.0977194109733543,0.6130958528832952
Amherst College,Yes,4302,992,418,83,96,1593,5,19760,5300,660,1598,75.0,98,8.4,63,21424,100,6.244556208702437,5.468899013007099,3.9338864519701247,8.22193341022547,3.6676946608085563,1.7444748095764888,84.07689359534504,10.129619880423451,9.812858591942838,2797.1408339686877,62958.47816557827,4.368041271262717,12.79505833659775,1.8381943950817923,0.23059042305904232,High,2,1,0.890037314381693,-0.17835432244130456,-0.07438197144344937,2.27883534731329,-0.15896167057461622,-2.176109594191858,1.9576134096936015,0.8110297824067062,0.5881520396402784,0.04516955486019143,1.4679867891663476,-1.5210933767410013,2.4956153224473097,1.920485538853575,-3.510958307769455,1.8145208041217669,0.6130958528832952
Anderson University,Yes,1216,908,423,19,40,1819,281,10100,3520,550,1100,48.0,61,12.1,14,7994,59,5.529863467219629,5.414216041867759,3.9385869012923544,4.401674224577899,3.6938986802341676,7.5463012617331255,66.1701970968664,9.715390024589627,9.176997673903145,1146.123359651444,18178.60612562006,5.8671049482622815,5.443683341838181,1.832313457227704,0.7467105263157895,Medium,1,1,-0.2653758448182091,-0.2696694922618811,-0.061484500211150775,-0.3414378853851846,-0.020196783805222843,-0.11623964897801099,0.04287653889757052,0.12425506576926057,-0.1890906028016409,-1.5063952131493028,-1.3027523462610369,-0.46133648899060975,-0.6260396734364524,-0.13729814913918253,-0.00020228202990137085,0.3584006965742063,0.6130958528832952
Andrews University,Yes,1130,704,322,14,23,1586,326,9996,3090,900,1320,62.0,66,11.5,18,10908,46,5.486294603323879,5.255040846008085,3.82854869394382,3.7757494643672955,3.666811754898651,7.807518182292734,65.9250715115624,10.856914905640831,9.485241066919812,1911.850540404655,22346.50996978621,5.637657762251316,6.329097661694977,1.834515796144545,0.6230088495575221,Medium,1,1,-0.3358117618978988,-0.5354763739712171,-0.36341619151128945,-0.7707527080612918,-0.16363714942486735,-0.023497667072978456,0.016665618519435942,2.016852655434644,0.1876897630087672,-0.7867933106586992,-1.0448647336429244,-0.6235432314264993,-0.25006129701322827,0.6333165403795503,-0.8416467526730749,0.3584006965742063,0.6130958528832952
Angelo State University,No,3540,2001,1016,24,54,4190,1512,5130,3592,500,2000,60.0,62,23.1,5,4010,34,6.1385787637394005,5.890742335206159,4.26237563158847,4.914783971046612,3.842418411241212,10.742310814777072,51.83093555758719,9.502670860800531,10.203474874757537,1790.5445158830128,18969.870093350863,9.499875213037079,2.8029031764133614,1.8258736488134952,0.5652542372881356,Low,0,0,0.7187081159983048,0.5260824300191098,0.8269530826783935,0.010498375683124296,0.7662979642512601,1.018465788563027,-1.490399728535567,-0.22842386689854197,1.0656206545879023,-0.9007921972379641,-1.253793161208231,2.10683547646955,-1.747408750963526,-2.3906347830818544,-1.234505608120786,-1.0977194109733543,-1.6310663255951814
Antioch University,Yes,713,661,252,25,44,712,23,15476,3336,400,1100,69.0,82,11.3,35,42926,48,5.207317989597523,5.215176100320248,3.725670994635937,5.0076495594765635,3.4912920582122515,3.6755164054749305,77.07443026174116,9.014694833976261,9.176997673903145,2367.6971460616746,39465.53223109407,5.560145089438339,9.275276881632609,1.8408087870884555,0.9270687237026648,High,2,1,-0.7868213103364338,-0.6020465684301659,-0.6457003044349969,0.07419384862799155,-1.0931117632576415,-1.4905160868454934,1.2088502454556984,-1.0374664620381557,-0.1890906028016409,-0.3584056382346787,0.01436886348154269,-0.678340495986942,1.0009910690058206,2.835280654668368,1.2266315968909323,1.8145208041217669,0.6130958528832952
Appalachian State University,No,7313,4664,1910,20,63,9940,1035,6806,2540,96,2000,83.0,96,18.3,14,5854,70,6.5253836272195285,6.372607290848894,4.470044968921533,4.511710153177958,3.9702073184252664,9.975403768831844,57.41231101659019,6.203289667757594,10.203474874757537,3425.3200408639627,59647.28650004573,8.023471582250671,5.443683341838181,1.8297004667353385,0.6377683577191303,Low,0,0,1.344038979692563,1.3307493919326905,1.3967729276486842,-0.2659654673280361,1.4430114465519315,0.7461845013266436,-0.8935914126065444,-5.698651451942537,1.0656206545879023,0.6355089913449042,1.2631079470739583,1.0630980149914302,-0.6260396734364524,-1.0516028647266802,-0.7412495158897182,-1.0977194109733543,-1.6310663255951814
Aquinas College,Yes,619,516,219,20,51,1251,767,11208,4124,350,1615,55.0,65,12.7,25,6584,65,5.119751685169152,5.056813304751676,3.6649952336617475,4.511710153177958,3.6179676459931267,9.389079241626145,68.68444130837047,8.729291720840871,9.831134084672719,1504.656575461497,21470.19703315302,6.092161014487607,7.665481401085836,1.8307381558520661,0.8336025848142165,Medium,1,1,-0.9283860059973014,-0.8664968217596126,-0.8121873417404444,-0.2659654673280361,-0.42229392766715884,0.5380169041583767,0.31172099573869333,-1.5106521568656046,0.610491032112236,-1.1694590422937714,-1.0990862943084903,-0.3022340305882601,0.3174147165843801,-0.6885077614303057,0.5908555280366711,0.3584006965742063,0.6130958528832952
